"y","title","director","dist","date","country","genre","grade","type2","type3","time","main1","main2","main3","b_screen","b_play","b_count","month","first_count","actor","main1_to_m","main1_to_s","main2_to_m","main2_to_s","main3_to_m","main3_to_s","dist_factor2","dist_factor1","dir_to_m","dir_to_s"
4945484,"킹스맨: 골든 서클","매튜 본","이십세기폭스코리아(주)",2017-09-27,"미국","액션","청소년관람불가","상업영화","일반영화","140분 49초","콜린 퍼스","줄리안 무어","태런 에저튼",3,16,5735,9,481948,"콜린 퍼스,줄리안 무어,태런 에저튼",1177849,0.437895864119007,1045573.71428571,0.316969303383603,2579743.5,1.71951305725859,1,0,3738895,2.40123443589929
4875494,"마션","리들리 스콧","이십세기폭스코리아(주)",2015-10-08,"미국","액션","12세이상관람가","상업영화","일반영화","142분 0초","맷 데이먼","제시카 차스테인","제프 다니엘스",16,42,10011,10,271226,"맷 데이먼,제시카 차스테인,제프 다니엘스",863874.166666667,0.150858897633201,855921.666666667,0.143588692401322,2534110,1.67779474094939,1,0,1477502.33333333,0.619937066605549
4857152,"토르: 라그나로크","타이카 와이티티","월트디즈니컴퍼니코리아 유한책임회사",2017-10-25,"미국","액션","12세이상관람가","상업영화","일반영화","130분 21초","크리스 헴스워스","톰 히들스턴","케이트 블란쳇",5,7,2511,10,415741,"크리스 헴스워스,톰 히들스턴,케이트 블란쳇",2832515.4,1.95059807327268,2407427.25,1.5619808972727,1286345.6,0.537083861473436,1,0,4857152,3.28208466666903
4853123,"어메이징 스파이더맨","마크 웹","한국소니픽쳐스릴리징브에나비스타영화㈜",2012-06-28,"미국","액션","12세이상관람가","상업영화","일반영화","136분 0초","앤드류 가필드","엠마 스톤","마틴 쉰",7,23,5356,6,272155,"앤드류 가필드,엠마 스톤,마틴 쉰",1861613,1.06299546929607,1731805.75,0.944325196037868,2439191.5,1.59101989337917,1,0,2271147.75,1.24509098777052
4703245,"주토피아","바이론 하워드,리치 무어","월트디즈니컴퍼니코리아(주)",2016-02-17,"미국","애니메이션","전체관람가","상업영화","일반영화","108분 25초","지니퍼 굿윈","제이슨 베이트먼","샤키라",22,43,10460,2,35604,"지니퍼 굿윈,제이슨 베이트먼,샤키라",2407020,1.56160858780012,1594837.66666667,0.819108462174247,4703245,3.66082606765823,1,0,4703245,3.16085223399293
4697142,"엣지 오브 투모로우","더그 라이만","워너브러더스 코리아(주)",2014-06-04,"미국","액션","12세이상관람가","상업영화","일반영화","113분 18초","톰 크루즈","에밀리 블런트","빌 팩스톤",478,1384,80680,6,377160,"톰 크루즈,에밀리 블런트,빌 팩스톤",2832225,1.95033258850696,943898.285714286,0.224017246451374,2376517,1.53372263115907,1,0,2549341.5,1.46422400360337
4666993,"신비한 동물사전","데이빗 예이츠","워너브러더스 코리아(주)",2016-11-16,"미국","어드벤처","12세이상관람가","상업영화","일반영화","132분 40초","에디 레드메인","콜린 파렐","캐서린 워터스턴",3,8,2484,11,242775,"에디 레드메인,콜린 파렐,캐서린 워터스턴",1693012.33333333,0.908860109484902,1001792,0.276943896497638,2987109.5,2.09192857747106,1,0,3308564.33333333,2.06226328075282
4400298,"해리포터와 죽음의 성물2","데이빗 예이츠","워너브러더스 코리아(주)",2011-07-13,"미국","판타지","전체관람가","상업영화","일반영화","131분 0초","다니엘 래드클리프","엠마 왓슨","루퍼트 그린트",2,4,1160,7,229946,"다니엘 래드클리프,엠마 왓슨,루퍼트 그린트",1483500.33333333,0.717323455785882,2330627.8,1.49177055295388,4400298,3.38387078763533,1,0,3308564.33333333,2.06226328075282
4313871,"엑스맨: 데이즈 오브 퓨처 패스트","브라이언 싱어","이십세기폭스코리아(주)",2014-05-22,"미국","액션","12세이상관람가","상업영화","일반영화","134분 23초","휴 잭맨","제임스 맥어보이","마이클 패스벤더",720,1738,91295,5,213000,"휴 잭맨,제임스 맥어보이,마이클 패스벤더",1871756.72727273,1.07226890269298,1826088.8,1.03051911284233,1205017.09090909,0.462733034400986,1,0,2736281,1.61147611265789
4168350,"어메이징 스파이더맨 2","마크 웹","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",2014-04-23,"미국","액션","12세이상관람가","상업영화","일반영화","142분 25초","앤드류 가필드","엠마 스톤","제이미 폭스",7,12,3203,4,192229,"앤드류 가필드,엠마 스톤,제이미 폭스",1861613,1.06299546929607,1731805.75,0.944325196037868,1254183.5,0.507681149409529,1,0,2271147.75,1.24509098777052
4002134,"혹성탈출: 반격의 서막","맷 리브스","이십세기폭스코리아(주)",2014-07-10,"미국","액션","12세이상관람가","상업영화","일반영화","130분 0초","앤디 서키스","게리 올드만","제이슨 클락",2,4,990,7,201723,"앤디 서키스,게리 올드만,제이슨 클락",3026521.5,2.12795917522005,1915121.66666667,1.1119132924147,1920197.25,1.11655340967403,1,0,3026521.5,1.84009834475992
3984812,"쿵푸팬더3","여인영,알레산드로 칼로니","씨제이이앤엠(주)",2016-01-28,"미국","애니메이션","전체관람가","상업영화","일반영화","94분 47초","잭 블랙","안젤리나 졸리","더스틴 호프만",4,11,2455,1,222044,"잭 블랙,안젤리나 졸리,더스틴 호프만",1938232.5,1.13304130265212,2691169,1.82137866594325,1365077,0.609060401705208,0,1,3984812,2.59494307908257
