"y","title","director","dist","date","country","genre","grade","type2","type3","time","main1","main2","main3","b_screen","b_play","b_count","month","actor","first_count","main1_to_m","main1_to_s","main2_to_m","main2_to_s","main3_to_m","main3_to_s","dist_factor1","dir_to_m","dir_to_s"
11372451,"변호인","양우석","(주)넥스트엔터테인먼트월드(NEW)",2013-12-18,"한국","드라마","15세이상관람가","상업영화","일반영화","126분 55초","송강호","김영애","오달수",16,89,19943,12,"송강호,김영애,오달수",119949,7205062.5,4.22673677472539,4188663.25,2.22367811736761,3580181.42857143,1.81961198445854,1,7911901,3.41773868258428
9699092,"검사외전","이일형","(주)쇼박스",2016-02-03,"한국","범죄","15세이상관람가","상업영화","일반영화","126분 13초","황정민","강동원","이성민",20,48,13008,2,"황정민,강동원,이성민",526680,5699044.53846154,3.22665619321883,4864645,2.67256799709867,1953083.11111111,0.739127240550327,1,9699092,4.31843469798546
9134586,"관상","한재림","(주)쇼박스",2013-09-11,"한국","사극","15세이상관람가","상업영화","일반영화","139분 40초","송강호","이정재","백윤식",14,50,10684,9,"송강호,이정재,백윤식",373552,7205062.5,4.22673677472539,6074719.875,3.47612573383391,2916028.125,1.37857685804696,1,7225455.5,3.07178868247793
8914845,"설국열차","봉준호","씨제이이앤엠(주)",2013-08-01,"한국","SF","15세이상관람가","상업영화","일반영화","125분 46초","크리스 에반스","송강호","에드 해리스",849,4475,435146,8,"크리스 에반스,송강호,에드 해리스",601029,8914845,5.36212846361532,7205062.5,4.22673677472539,8914845,5.36212846361532,1,8914845,3.92319538221545
8656397,"수상한 그녀","황동혁","씨제이이앤엠(주)",2014-01-22,"한국","드라마","15세이상관람가","상업영화","일반영화","124분 46초","심은경","나문희","박인환",19,149,31394,1,"심은경,나문희,박인환",142843,2310330.4,0.976359521663805,5968320,3.40547023597151,4351608,2.3318825906841,1,5716370,2.31125033109316
8646758,"해적: 바다로 간 산적","이석훈","롯데쇼핑㈜롯데엔터테인먼트",2014-08-06,"한국","어드벤처","12세이상관람가","상업영화","일반영화","129분 37초","김남길","손예진","신정근",27,167,35335,8,"김남길,손예진,신정근",273445,2756673.33333333,1.2727563188596,3863051.42857143,2.0074535649147,4189864.66666667,2.22447592556732,1,6821259,2.86808455852638
7817446,"공조","김성훈","씨제이이앤엠(주)",2017-01-18,"한국","액션","15세이상관람가","상업영화","일반영화","125분 0초","현빈","유해진","김주혁",24,92,14606,1,"현빈,유해진,김주혁",151845,3318921,1.64612037413043,3875673.45454545,2.01583529966041,1553476.8,0.473766187630719,1,4642457.75,1.77002754938404
7759473,"히말라야","이석훈","씨제이이앤엠(주)",2015-12-16,"한국","드라마","12세이상관람가","상업영화","일반영화","127분 55초","황정민","정우","조성하",77,168,26776,12,"황정민,정우,조성하",203173,5699044.53846154,3.22665619321883,3076008.75,1.48481298574649,2069133.28571429,0.816191079803957,1,6821259,2.86808455852638
7487545,"밀정","김지운","워너브러더스 코리아(주)",2016-09-07,"한국","액션","15세이상관람가","상업영화","일반영화","139분 55초","송강호","공유","한지민",24,93,18533,9,"송강호,공유,한지민",287228,7205062.5,4.22673677472539,5610093.6,3.16758777004326,4302034.33333333,2.29896288942319,0,3792550,1.34169698825007
7466976,"최종병기 활","김한민","롯데쇼핑㈜롯데엔터테인먼트",2011-08-10,"한국","사극","15세이상관람가","상업영화","일반영화","122분 0초","박해일","류승룡","김무열",221,852,100976,8,"박해일,류승룡,김무열",140127,2507468.55555556,1.10727033832082,4888570.07692308,2.68845559303237,2451116.42857143,1.06984935838387,1,12540329,5.75034144142273
7328820,"써니","강형철","씨제이이앤엠(주)",2011-05-04,"한국","드라마","15세이상관람가","상업영화","일반영화","124분 0초","유호정","심은경","강소라",240,1124,59922,5,"유호정,심은경,강소라",55417,7328820,4.30891871128036,2310330.4,0.976359521663805,7328820,4.30891871128036,1,5665316.5,2.28552074537889
7231770,"1987","장준환","씨제이이앤엠(주)",2017-12-27,"한국","드라마","15세이상관람가","상업영화","일반영화","129분 5초","김윤석","하정우","유해진",45,170,35331,12,"김윤석,하정우,유해진",331736,4110368.63636364,2.17168609288053,5626903.84615385,3.17875071841317,3875673.45454545,2.01583529966041,1,4811866.5,1.85540498587465
7166199,"베를린","류승완","씨제이이앤엠(주)",2013-01-30,"한국","액션","15세이상관람가","상업영화","일반영화","120분 0초","하정우","한석균","류승범",631,1792,142751,1,"하정우,한석균,류승범",273647,5626903.84615385,3.17875071841317,7166199,4.20092922616224,1578657.28571429,0.490487445569791,1,9051250,3.99193981970467
7150541,"마스터","조의석","씨제이이앤엠(주)",2016-12-21,"한국","액션","15세이상관람가","상업영화","일반영화","142분 51초","이병헌","강동원","김우빈",35,129,23444,12,"이병헌,강동원,김우빈",392856,4581999.875,2.48487574628299,4864645,2.67256799709867,3932622.5,2.05365266701521,1,7150541,3.03403379693645
7118592,"터널","김성훈","(주)쇼박스",2016-08-10,"한국","드라마","12세이상관람가","상업영화","일반영화","126분 20초","하정우","배두나","오달수",24,80,20854,8,"하정우,배두나,오달수",379079,5626903.84615385,3.17875071841317,3027498.33333333,1.45259934225212,3580181.42857143,1.81961198445854,1,4642457.75,1.77002754938404
7071763,"내부자들","우민호","(주)쇼박스",2015-11-19,"한국","범죄","청소년관람불가","상업영화","일반영화","130분 6초","이병헌","조승우","백윤식",712,1814,113784,11,"이병헌,조승우,백윤식",230949,4581999.875,2.48487574628299,2674182.5,1.21797776861928,2916028.125,1.37857685804696,1,3488885.66666667,1.18865836224267
