"y","title","director","dist","date","genre","grade","type2","type3","time","main1","main2","main3","b_screen","b_play","b_count","month","actor","first_count","main1_to_m","main1_to_s","main2_to_m","main2_to_s","main3_to_m","main3_to_s","dist_factor1","dir_to_m","dir_to_s"
465749,"마담 뺑덕","임필성","씨제이이앤엠(주)",2014-10-02,"멜로/로맨스","청소년관람불가","상업영화","일반영화","111분 37초","정우성","이솜","김희원",21,49,8522,10,"정우성,이솜,김희원",67072,3647687.16666667,1.72737734691435,185436.4,-0.457723666360233,509845.5,-0.252982097681784,1,465749,-0.340491579753478
465492,"순수의 시대","안상훈","씨제이이앤엠(주)",2015-03-05,"사극","청소년관람불가","상업영화","일반영화","113분 16초","신하균","장혁","강한나",23,51,10127,3,"신하균,장혁,강한나",61795,1086108.85714286,0.110710115987122,1992533.66666667,0.682774331790467,465492,-0.280974546618573,1,465492,-0.34061890319942
445014,"뽀로로 극장판 컴퓨터 왕국 대모험","박영균","(주)넥스트엔터테인먼트월드(NEW)",2015-12-10,"애니메이션","전체관람가","상업영화","일반영화","62분 3초","이선","이미자","함수정",6,12,2167,12,"이선,이미자,함수정",10545,687499.5,-0.140860832766586,687499.5,-0.140860832766586,445014,-0.293898653381907,1,687499.5,-0.230631510495181
433825,"원라인","양경모","(주)넥스트엔터테인먼트월드(NEW)",2017-03-29,"범죄","15세이상관람가","상업영화","일반영화","131분 36초","임시완","진구","박병은",23,44,9888,3,"임시완,진구,박병은",53333,818352.666666667,-0.0582765815545332,1147073.66666667,0.149186320064282,433825,-0.300960272220414,1,433825,-0.356307430680542
429569,"터닝메카드W: 블랙미러의 부활","홍헌표,김석원","씨네그루(주)키다리이엔티",2017-01-18,"애니메이션","전체관람가","다양성영화","예술영화","72분 41초","소연","윤아영","신용우",5,10,1724,1,"소연,윤아영,신용우",1724,225758,-0.432275836334426,429569,-0.303646325467057,541515.666666667,-0.23299437352842,0,429569,-0.3584159465791
429141,"창수","이덕희","(주)마인스 엔터테인먼트,(주)박수엔터테인먼트",2013-11-28,"드라마","청소년관람불가","상업영화","일반영화","103분 51초","임창정","안내상","정성화",7,17,3680,11,"임창정,안내상,정성화",50653,327093.5,-0.368320820174845,251953,-0.415743607763982,1531902,0.392059767937907,0,281984,-0.431532797821762
428429,"오피스","홍원찬","(주)리틀빅픽쳐스",2015-09-03,"스릴러","15세이상관람가","상업영화","일반영화","111분 15초","고아성","박성웅","배성우",14,70,13061,9,"고아성,박성웅,배성우",46567,1037085.66666667,0.0797705248359567,517319.125,-0.248265332010863,1908599.16666667,0.629801461435593,0,428429,-0.358980727623357
428139,"모비딕","박인제","(주)쇼박스",2011-06-09,"스릴러","15세이상관람가","상업영화","일반영화","112분 0초","황정민","김민희","김상호",29,65,12237,6,"황정민,김민희,김상호",35515,5057681.58333333,2.61725518540959,1455606,0.343907719416793,1163268.2,0.159407038776186,1,895386.5,-0.127639723699211
425972,"두 개의 달","김동빈","롯데쇼핑㈜롯데엔터테인먼트",2012-07-12,"공포(호러)","15세이상관람가","상업영화","일반영화","86분 0초","박한별","김지석","박진주",5,16,2901,7,"박한별,김지석,박진주",30747,369962.5,-0.341265271154561,425972,-0.305916469623113,425972,-0.305916469623113,1,425972,-0.360197979400321
423026,"신이 보낸 사람","김진무","(주)씨타마운틴픽쳐스,(주)마인스 엔터테인먼트",2014-02-13,"드라마","15세이상관람가","다양성영화","예술영화","112분 11초","김인권","홍경인","기주봉",6,31,7111,2,"김인권,홍경인,기주봉",23038,600354,-0.195860234365578,423026,-0.30777575366085,257715,-0.412107085487865,0,423026,-0.361657492519953
