y,title,director,dist,date,country,genre,grade,type2,type3,time,main1,main2,main3,b_screen,b_play,b_count
4313871,엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,이십세기폭스코리아(주),2014-05-22,미국,액션,12세이상관람가,상업영화,일반영화,134분 23초,휴 잭맨,제임스 맥어보이,마이클 패스벤더,720,1738,91295
4277071,아가씨,박찬욱,씨제이이앤엠(주),2016-06-01,한국,스릴러,청소년관람불가,상업영화,일반영화,144분 44초,김민희(아가씨),김태리(하녀),하정우(백작),30,55,10768
4168350,어메이징 스파이더맨 2,마크 웹,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-04-23,미국,액션,12세이상관람가,상업영화,일반영화,142분 25초,앤드류 가필드,엠마 스톤,제이미 폭스,7,12,3203
4131248,용의자,원신연,(주)쇼박스,2013-12-24,한국,액션,15세이상관람가,상업영화,일반영화,137분 32초,공유(지동철),박희순(민세훈),조성하(김석호),23,92,19615
4110645,건축학개론,이용주,롯데쇼핑㈜롯데엔터테인먼트,2012-03-22,한국,멜로/로맨스,12세이상관람가,상업영화,일반영화,118분 0초,엄태웅(현재 승민 ),한가인(현재 서연 ),이제훈(과거 승민),282,1354,85077
4057546,댄싱퀸,이석훈,씨제이이앤엠(주),2012-01-18,한국,코미디,12세이상관람가,상업영화,일반영화,124분 0초,황정민,엄정화,정성화,17,86,14333
4018341,꾼,장창원,(주)쇼박스,2017-11-22,한국,범죄,15세이상관람가,상업영화,일반영화,116분 55초,현빈,유지태,배성우,49,189,38739
4002134,혹성탈출: 반격의 서막,맷 리브스,이십세기폭스코리아(주),2014-07-10,미국,액션,12세이상관람가,상업영화,일반영화,130분 0초,앤디 서키스,게리 올드만,제이슨 클락,2,4,990
4001813,타짜-신의 손,강형철,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",2014-09-03,한국,드라마,청소년관람불가,상업영화,일반영화,147분 4초,최승현(함대길),신세경(허미나),곽도원(장동식),28,84,16803
3984812,쿵푸팬더3,"여인영,알레산드로 칼로니",씨제이이앤엠(주),2016-01-28,미국,애니메이션,전체관람가,상업영화,일반영화,94분 47초,잭 블랙(포),안젤리나 졸리(타이그리스),더스틴 호프만(시푸),4,11,2455
3963220,캡틴 아메리카: 윈터 솔져,"조 루소,안소니 루소",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-03-26,미국,액션,15세이상관람가,상업영화,일반영화,135분 42초,크리스 에반스,스칼렛 요한슨,사무엘 L. 잭슨,2,3,932
3893216,박수건달,조진규,(주)쇼박스,2013-01-09,한국,코미디,15세이상관람가,상업영화,일반영화,128분 0초,박신양(광호),김정태(태주),엄지원(명보살),14,40,10240
3872015,조선명탐정 : 사라진 놉의 딸,김석윤,(주)쇼박스,2015-02-11,한국,사극,12세이상관람가,상업영화,일반영화,124분 53초,김명민,오달수,이연희,14,34,8202
3849433,역린,이재규,롯데쇼핑㈜롯데엔터테인먼트,2014-04-30,한국,사극,15세이상관람가,상업영화,일반영화,135분 53초,현빈(정조),정재영,조정석,25,35,6366
3842441,매드 맥스: 분노의 도로,조지 밀러,워너브러더스 코리아(주),2015-05-14,미국,액션,15세이상관람가,상업영화,일반영화,120분 0초,톰 하디,샤를리즈 테론,니콜라스 홀트,18,19,3958
3829891,남한산성,황동혁,씨제이이앤엠(주),2017-10-03,한국,사극,15세이상관람가,상업영화,일반영화,140분 0초,이병헌,김윤석,박해일,40,155,28918
3783375,데드풀 2,데이빗 레이치,이십세기폭스코리아(주),2018-05-16,미국,액션,청소년관람불가,상업영화,일반영화,117분 29초,라이언 레놀즈,조슈 브롤린,재지 비츠,1,4,1502
3689325,미이라,알렉스 커츠먼,유니버설픽쳐스인터내셔널 코리아(유),2017-06-06,미국,액션,15세이상관람가,상업영화,일반영화,110분 7초,톰 크루즈,소피아 부텔라,애나벨 월리스,1,2,553
3653238,분노의 질주: 더 익스트림,F. 게리 그레이,유니버설픽쳐스인터내셔널 코리아(유),2017-04-12,미국,액션,15세이상관람가,상업영화,일반영화,136분 7초,빈 디젤,드웨인 존슨,샤를리즈 테론,1,2,503
3637122,너의 이름은.,신카이 마코토,메가박스중앙(주)플러스엠,2017-01-04,일본,애니메이션,12세이상관람가,상업영화,일반영화,106분 41초,카미키 류노스케(타치바나 타키 역),카미시라이시 모네(미야미즈 미츠하 역),나가사와 마사미(오쿠데라 미키 역),275,700,74239
3610642,인턴,낸시 마이어스,워너브러더스 코리아(주),2015-09-24,미국,코미디,12세이상관람가,상업영화,일반영화,121분 22초,앤 해서웨이,로버트 드니로,르네 루소,27,42,4306
3586523,귀향,조정래,(주)와우픽쳐스,2016-02-24,한국,드라마,15세이상관람가,상업영화,일반영화,127분 13초,손숙(영옥(영희)),강하나(정민),최리(은경),21,47,11054
3579666,리얼 스틸,숀 레비,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-10-12,미국,액션,12세이상관람가,상업영화,일반영화,127분 0초,휴 잭맨,,,248,1320,84003
3570069,라라랜드,다미엔 차젤레,판씨네마(주),2016-12-07,미국,드라마,12세이상관람가,상업영화,일반영화,127분 53초,엠마 스톤,라이언 고슬링,핀 위트록,12,18,5172
3562123,신의 한 수,조범구,(주)쇼박스,2014-07-03,한국,범죄,청소년관람불가,상업영화,일반영화,117분 31초,정우성,안성기,이범수,504,1320,73945
3510040,코코,리 언크리치,월트디즈니컴퍼니코리아 유한책임회사,2018-01-11,미국,애니메이션,전체관람가,상업영화,일반영화,126분 44초,가엘 가르시아 베르날,앤서니 곤잘레스,벤자민 브랫,17,50,10730
3450941,부러진 화살,정지영,(주)넥스트엔터테인먼트월드(NEW),2012-01-18,한국,드라마,15세이상관람가,상업영화,일반영화,100분 0초,안성기(김경호),박원상(박준),나영희(김경호부인),9,83,18184
3450143,끝까지 간다,김성훈,(주)쇼박스,2014-05-29,한국,액션,15세이상관람가,상업영화,일반영화,110분 45초,이선균(고건수 ),조진웅(박창민 ),신정근(반장 ),107,300,26472
3427464,비긴 어게인,존 카니,판씨네마(주),2014-08-13,미국,멜로/로맨스,15세이상관람가,다양성영화,예술영화,103분 58초,키이라 나이틀리,마크 러팔로,애덤 리바인,24,46,9215
3423920,스파이,이승준,씨제이이앤엠(주),2013-09-05,한국,액션,15세이상관람가,상업영화,일반영화,121분 6초,설경구(철수),문소리(영희),다니엘 헤니,31,128,25297
