y,title,director,dist,date,country,genre,grade,type2,type3,time,main1,main2,main3,b_screen,b_play,b_count,month,first_count
1077238,퍼시픽 림: 업라이징,스티븐 S. 드나이트,유니버설픽쳐스인터내셔널 코리아(유),2018-03-21,미국,액션,15세이상관람가,상업영화,일반영화,110분 44초,존 보예가,스콧 이스트우드,케일리 스패니,1,1,200,3,114862
1075584,가디언즈,피터 램지,씨제이이앤엠(주),2012-11-29,미국,애니메이션,전체관람가,상업영화,일반영화,97분 0초,크리스 파인,알렉 볼드윈,휴 잭맨,197,848,65019,11,19554
1075333,더 울버린,제임스 맨골드,이십세기폭스코리아(주),2013-07-25,미국,액션,15세이상관람가,상업영화,일반영화,128분 44초,휴 잭맨,사나다 히로유키,윌 윤 리,596,1660,57625,7,138359
1028384,지오스톰,"딘 데블린,대니 캐넌",워너브러더스 코리아(주),2017-10-19,미국,액션,12세이상관람가,상업영화,일반영화,108분 58초,캐서린 윈닉,제라드 버틀러,짐 스터게스,6,7,1456,10,87805
1027438,개구쟁이 스머프,라자 고스넬,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-08-11,미국,애니메이션,전체관람가,상업영화,일반영화,101분 0초,닐 패트릭 해리스,행크 아자리아,NA,9,14,2396,8,48777
1019309,로그 원: 스타워즈 스토리,가렛 에드워즈,월트디즈니컴퍼니코리아 유한책임회사,2016-12-28,미국,액션,12세이상관람가,상업영화,일반영화,133분 46초,펠리시티 존스,디에고 루나,매즈 미켈슨,34,36,2331,12,145102
1015711,본 레거시,토니 길로이,유니버설픽쳐스인터내셔널 코리아(유),2012-09-06,미국,액션,15세이상관람가,상업영화,일반영화,135분 0초,제레미 레너,레이첼 와이즈,에드워드 노튼,3,3,700,9,95550
1006075,라푼젤,"네이슨 그레노,바이론 하워드",한국소니픽쳐스릴리징브에나비스타영화㈜,2011-02-10,미국,애니메이션,전체관람가,상업영화,일반영화,100분 0초,재커리 레비,맨디 무어,네이슨 그레노,20,318,21938,2,22031
999047,맨 인 더 다크,페드 알바레즈,유니버설픽쳐스인터내셔널 코리아(유),2016-10-05,미국,스릴러,청소년관람불가,상업영화,일반영화,88분 23초,제인 레비,딜런 미네트,스티븐 랭,304,1407,43283,10,61267
979739,파퍼씨네 펭귄들,마크 워터스,이십세기폭스코리아(주),2011-09-07,미국,코미디,전체관람가,상업영화,일반영화,95분 0초,안젤라 랜스베리,짐 캐리,칼라 구기노,1,2,648,9,10258
979509,로보캅,호세 파딜라,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-02-13,미국,액션,12세이상관람가,상업영화,일반영화,117분 19초,조엘 키나만,사무엘 L. 잭슨,게리 올드만,4,7,1930,2,92373
