"y","title","director","dist","date","genre","grade","type2","type3","time","main1","main2","main3","b_screen","b_play","b_count","month","first_count","actor","main1_to_m","main1_to_s","main2_to_m","main2_to_s","main3_to_m","main3_to_s","dist_factor2","dist_factor1","dir_to_m","dir_to_s"
6396528,"다크 나이트 라이즈","크리스토퍼 놀란","워너브러더스 코리아(주)",2012-07-19,"액션","15세이상관람가","상업영화","일반영화","164분 0초","크리스찬 베일","게리 올드만","앤 해서웨이",3,3,863,7,441089,"크리스찬 베일,게리 올드만,앤 해서웨이",1704127.4,0.981965576465362,1497719.2,0.78761247552043,3919421,3.06787679832313,1,0,6487678.66666667,4.96039352026056
104601,"인사이드 르윈","조엘 코엔,에단 코엔","블루미지",2014-01-29,"드라마","15세이상관람가","다양성영화","예술영화","104분 34초","오스카 아이삭","캐리 멀리건","저스틴 팀버레이크",12,26,3110,1,6448,"오스카 아이삭,캐리 멀리건,저스틴 팀버레이크",65571,-0.560892301337769,66410.5,-0.560101831636258,240102.142857143,-0.396554504555719,0,0,104601,-0.458592448002598
120352,"헤이트풀8","쿠엔틴 타란티노","(주)누리픽쳐스",2016-01-07,"액션","청소년관람불가","다양성영화","예술영화","167분 35초","사무엘 L. 잭슨","커트 러셀","제니퍼 제이슨 리",2,4,926,1,11342,"사무엘 L. 잭슨,커트 러셀,제니퍼 제이슨 리",1893434.4,1.16021625875697,120352,-0.509310740029331,120352,-0.509310740029331,0,0,190248,-0.385881458811987
134029,"대니쉬 걸","톰 후퍼","유니버설픽쳐스인터내셔널 코리아(유)",2016-02-17,"드라마","청소년관람불가","다양성영화","예술영화","119분 36초","에디 레드메인","알리시아 비칸데르","엠버 허드",17,19,2120,2,5826,"에디 레드메인,알리시아 비칸데르,엠버 허드",1693012.33333333,0.971499676012394,208666.25,-0.426154410265659,130929.666666667,-0.499350853176829,0,0,3022959.5,2.01898100288103
869805,"개구쟁이 스머프 2","라자 고스넬","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",2013-08-01,"애니메이션","전체관람가","상업영화","일반영화","104분 46초","박명수","닐 패트릭 해리스","크리스티나 리치",346,895,51983,8,92058,"박명수,닐 패트릭 해리스,크리스티나 리치",869805,0.196371081538233,707832.5,0.0438584505342179,869805,0.196371081538233,1,0,948621.5,0.257948300093128
14241,"라스트 홈","라민 바흐러니","(주)브리즈픽처스",2016-04-07,"드라마","15세이상관람가","다양성영화","예술영화","112분 40초","앤드류 가필드","마이클 섀넌","로라 던",1,7,1017,4,1730,"앤드류 가필드,마이클 섀넌,로라 던",1861613,1.13025336112786,22051.5,-0.601870081176811,48787.5,-0.576695574995062,0,0,14241,-0.535304591840254
2532306,"엑스맨: 퍼스트 클래스","매튜 본","이십세기폭스코리아(주)",2011-06-02,"액션","12세이상관람가","상업영화","일반영화","132분 0초","로즈 번","재뉴어리 존스","마이클 패스벤더",347,801,27764,6,98052,"로즈 번,재뉴어리 존스,마이클 패스벤더",1296547,0.598189570355258,1288426,0.590542870598301,1456704.625,0.748993322622491,1,0,2532306,1.60243516549226
88977,"페이스 블라인드","줄리앙 마그넷","(주)마인스 엔터테인먼트",2012-06-21,"범죄","청소년관람불가","상업영화","일반영화","103분 0초","밀라 요보비치","줄리안 맥마흔","사라 웨인 콜리스",1,1,200,6,11849,"밀라 요보비치,줄리안 맥마흔,사라 웨인 콜리스",289825.666666667,-0.349735041751964,88977,-0.538853309278747,1083734.5,0.397806207219281,0,0,88977,-0.471856619486878
570010,"루퍼","라이언 존슨","(주)에스비에스콘텐츠허브",2012-10-11,"SF","청소년관람불가","상업영화","일반영화","119분 0초","조셉 고든 레빗","브루스 윌리스","에밀리 블런트",45,64,13855,10,33094,"조셉 고든 레빗,브루스 윌리스,에밀리 블런트",239311.5,-0.39729897057512,930101.333333333,0.253145857729017,943898.285714286,0.266137010594202,0,0,764794,0.101885865151598
2792705,"덩케르크","크리스토퍼 놀란","워너브러더스 코리아(주)",2017-07-20,"액션","12세이상관람가","상업영화","일반영화","106분 27초","톰 하디","마크 라이런스","케네스 브래너",20,39,6021,7,224242,"톰 하디,마크 라이런스,케네스 브래너",1457956.66666667,0.750172239838129,1358238.75,0.656278265064186,1828731,1.09929180695864,1,0,6487678.66666667,4.96039352026056
1028384,"지오스톰","딘 데블린,대니 캐넌","워너브러더스 코리아(주)",2017-10-19,"액션","12세이상관람가","상업영화","일반영화","108분 58초","캐서린 윈닉","제라드 버틀러","짐 스터게스",6,7,1456,10,87805,"캐서린 윈닉,제라드 버틀러,짐 스터게스",1028384,0.345688407084148,955631,0.277184485471312,615594.5,-0.0429924658778173,1,0,1028384,0.325663576463767
1511145,"엑소더스: 신들과 왕들","리들리 스콧","이십세기폭스코리아(주)",2014-12-03,"드라마","12세이상관람가","상업영화","일반영화","153분 31초","크리스찬 베일","조엘 에저튼","시고니 위버",6,12,3545,12,97384,"크리스찬 베일,조엘 에저튼,시고니 위버",1704127.4,0.981965576465362,422757.5,-0.22456698145868,724441.333333333,0.0594972587860746,1,0,2564621.66666667,1.62986991615121
29217,"리빙보이 인 뉴욕","마크 웹","주식회사 더쿱",2017-11-09,"멜로/로맨스","15세이상관람가","다양성영화","예술영화","88분 41초","칼럼 터너","제프 브리지스","케이트 베킨세일",16,23,2618,11,4417,"칼럼 터너,제프 브리지스,케이트 베킨세일",29217,-0.595123076237952,56063.8,-0.569844241237945,380240.75,-0.264600576076532,0,0,2271147.75,1.38072191584208
1231024,"메리다와 마법의 숲","마크 앤드류스,브렌다 채프먼","한국소니픽쳐스릴리징브에나비스타영화㈜",2012-09-27,"애니메이션","전체관람가","상업영화","일반영화","102분 0초","켈리 맥도날드","빌리 코놀리","엠마 톰슨",13,38,5504,9,9784,"켈리 맥도날드,빌리 코놀리,엠마 톰슨",1231024,0.536493386612486,1231024,0.536493386612486,442283.333333333,-0.206181538162981,1,0,1231024,0.497697096021785
52426,"호프 스프링즈","데이빗 프랭클","(주)시너지하우스 (시너지)",2013-04-04,"멜로/로맨스","청소년관람불가","상업영화","일반영화","100분 0초","메릴 스트립","토미 리 존스","스티브 카렐",5,16,2847,4,4305,"메릴 스트립,토미 리 존스,스티브 카렐",109192.4,-0.51981857288338,1072096.33333333,0.386847757986253,815908.333333333,0.145622204811136,0,0,52426,-0.502887004274507
