y,title,director,dist,date,country,genre,grade,type2,type3,time,main1,main2,main3,b_screen,b_play,b_count,month,first_count
66883,올레,채두병,"(주)대명문화공장,(주)리틀빅픽쳐스",2016-08-25,한국,드라마,15세이상관람가,상업영화,일반영화,103분 14초,신하균,박희순,오만석,7,19,2822,8,12249
65282,"사랑한다, 사랑하지 않는다",이윤기,(주)넥스트엔터테인먼트월드(NEW),2011-03-03,한국,멜로/로맨스,15세이상관람가,상업영화,일반영화,105분 0초,현빈,임수정,김중기,3,26,983,3,7864
62754,경주,장률,(주)인벤트스톤,2014-06-12,한국,드라마,15세이상관람가,다양성영화,"예술,독립 영화",145분 9초,박해일,신민아,김태훈,14,64,4461,6,7922
61414,헤드,조운,(주)에스비에스콘텐츠허브,2011-05-26,한국,액션,청소년관람불가,상업영화,일반영화,100분 0초,류덕환,박예진,백윤식,1,1,203,5,8721
60944,결정적 한방,박중구,(주)화앤담이엔티,2011-12-07,한국,코미디,15세이상관람가,상업영화,일반영화,100분 0초,유동근,윤진서,김정훈,1,1,324,12,5350
60365,두 남자,이성태,씨네그루(주)키다리이엔티,2016-11-30,한국,범죄,청소년관람불가,상업영화,일반영화,91분 23초,마동석,최민호,이유진,11,23,4185,11,13912
59923,번개맨과 신비의 섬,김지열,"힘컨텐츠(주),(주)디스테이션",2018-04-05,한국,가족,전체관람가,상업영화,일반영화,69분 48초,서홍석,유수호,최오식,3,3,638,4,2357
58340,소공녀,전고운,CGV아트하우스,2018-03-22,한국,멜로/로맨스,15세이상관람가,다양성영화,"예술,독립 영화",106분 17초,이솜,안재홍,김순모,5,13,1373,3,4421
58027,순종,"김동민,이주훈","(재)CBS,(주)영화사 안다미로",2016-11-17,한국,다큐멘터리,전체관람가,다양성영화,예술영화,88분 7초,최강희,최수종,김은혜,8,31,4633,11,2554
56995,밤의 해변에서 혼자,홍상수,"(주)영화제작전원사 ,(주)콘텐츠판다",2017-03-23,한국,드라마,청소년관람불가,다양성영화,"예술,독립 영화",100분 44초,김민희,정재영,서영화,1,1,401,3,5022
56835,극장판 프랭키와 친구들: 생명의 나무,박정오,예지림엔터테인먼트,2016-04-13,한국,애니메이션,전체관람가,상업영화,일반영화,71분 51초,이소은,박정오,이종관,13,15,3153,4,10849
55619,고녀석 맛나겠다2 : 함께라서 행복해,"최경석,노나카 카즈미",(주)리틀빅픽쳐스,2015-07-29,한국,애니메이션,전체관람가,다양성영화,예술영화,82분 32초,엄상현,시영준,안장혁,4,5,1267,7,3712
55342,그물,김기덕,(주)넥스트엔터테인먼트월드(NEW),2016-10-06,한국,드라마,15세이상관람가,다양성영화,예술영화,113분 42초,류승범,이원근,김영민,4,8,1396,10,6805
55227,빅뱅 메이드,변진호,씨제이 씨지브이(CJ CGV)(주),2016-06-30,한국,다큐멘터리,12세이상관람가,상업영화,일반영화,114분 33초,G-드래곤,태양,최승현,11,16,3609,6,6459
54450,잡아야 산다,오인천,오퍼스픽쳐스,2016-01-07,한국,코미디,15세이상관람가,상업영화,일반영화,96분 22초,김승우,김정태,한상혁,4,6,1957,1,8688
